id,name,credits,college,prereqs
CMPSC 235,Computational Geometry,4,College of Engineering,"CMPSC 130A, CMPSC 130B"
CMPSC 24,Problem Solving with Computers II,4,College of Engineering,"CMPSC 16 | MATH 3B, MATH 2B"
CMPSC 240A,Applied Parallel Computing,4,College of Engineering,"CMPSC 154, CMPSC 160"
CMPSC 24A,Problem Solving with Computers II,4,College of Engineering,"CMPSC 16 | MATH 3B, MATH 2B"
CMPSC 254,Advanced Computer Architecture,4,College of Engineering,"| CMPSC 154, ECE 154"
CMPSC 260,Advanced Topics in Program Analysis,4,College of Engineering,"CMPSC 160, CMPSC 162"
CMPSC 263,Runtime Systems,4,College of Engineering,"CMPSC 154, CMPSC 160, CMPSC 162"
CMPSC 266,Formal Specification and Verification,4,College of Engineering,"CMPSC 130A, CMPSC 130B, CMPSC 186"
CMPSC 267,Automated Verification,4,College of Engineering,"CMPSC 130A, CMPSC 130B, CMPSC 138"
CMPSC 270,Operating Systems,4,College of Engineering,CMPSC 170
CMPSC 271,Advanced Topics in Distributed Systems,4,College of Engineering,CMPSC 170
CMPSC 272,Software Engineering,4,College of Engineering,
CMPSC 273,Data and Knowledge Bases,4,College of Engineering,
CMPSC 274,Advanced Topics in Database Systems,4,College of Engineering,CMPSC 170
CMPSC 276,Advanced Topics in Networking,4,College of Engineering,"| CMPSC 176A, CMPSC 176B"
CMPSC 279,Advanced Topics in Security,4,College of Engineering,CMPSC 177
CMPSC 280,Computer Graphics,4,College of Engineering,CMPSC 180
CMPSC 281,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
CMPSC 281B,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
CMPSC 284,Mobile Computing,4,College of Engineering,"| CMPSC 176A, CMPSC 176B"
CMPSC 285,Advanced Image Synthesis,4,College of Engineering,
CMPSC 291,"Special Topics in Computer Science, Applications",4,College of Engineering,
CMPSC 291A,"Special Topics in Computer Science, Applications, General",4,College of Engineering,
CMPSC 291D,"Special Topics in Computer Science, Applications, Database and Information Systems",4,College of Engineering,
CMPSC 291G,"Special Topics in Computer Science, Applications, Security and Cryptography",4,College of Engineering,
CMPSC 291H,"Special Topics in Computer Science, Applications, Computational Science and Engineering",4,College of Engineering,
CMPSC 291I,"Special Topics in Computer Science, Applications, Visual Computing and Interaction",4,College of Engineering,
CMPSC 291K,"Special Topics in Computer Science, Applications",4,College of Engineering,
CMPSC 292,"Special Topics in Computer Science, Foundations",4,College of Engineering,
CMPSC 292A,"Special Topics in Computer Science, Foundations, Algorithms",4,College of Engineering,
CMPSC 292C,"Special Topics in Computer Science, Foundations, Programming Languages and Software Engineering",4,College of Engineering,
CMPSC 292F,"Special Topics in Computer Science, Foundations, General",4,College of Engineering,
CMPSC 292G,"Special Topics in Computer Science, Foundations",4,College of Engineering,
CMPSC 292H,"Special Topics in Computer Science, Foundations, Computational Science and Engineering",4,College of Engineering,
CMPSC 293,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293A,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293B,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293C,"Special Topics in Computer Science, Systems, Programming Languages and Software Engineering",4,College of Engineering,
CMPSC 293D,"Special Topics in Computer Science, Systems, Database and Information Systems",4,College of Engineering,
CMPSC 293E,"Special Topics in Computer Science, Systems, Computer Architecture and Embedded Systems",4,College of Engineering,
CMPSC 293G,"Special Topics in Computer Science, Systems, Security and Cryptography",4,College of Engineering,
CMPSC 293K,"Special Topics in Computer Science, Systems, Machine Learning and Data Mining",4,College of Engineering,
CMPSC 293N,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293S,"Special Topics in Computer Science, Systems, General",4,College of Engineering,
CMPSC 32,Object Oriented Design and Implementation,4,College of Engineering,CMPSC 24
CMPSC 4,Computer Science Boot Camp,4,College of Engineering,
CMPSC 40,Foundations of Computer Science,5,College of Engineering,"CMPSC 16, MATH 4A"
CMPSC 501,Techniques of Computer Science Teaching,1,College of Engineering,
CMPSC 502,Teaching of Computer Science,99,College of Engineering,CMPSC 501
CMPSC 592,"Group Studies: Controls, Dynamical Systems, and Computation",1,College of Engineering,
CMPSC 593,Computer Science Graduate Tutorial,99,College of Engineering,
CMPSC 594,Seminar in Computer Science,99,College of Engineering,
CMPSC 595,Group Studies in Computer Science,2,College of Engineering,
CMPSC 595A,Group Studies in Computer Science: Foundations,2,College of Engineering,
CMPSC 595B,Group Studies in Computer Science: Software Systems,2,College of Engineering,
CMPSC 595C,Group Studies in Computer Science: Programming Languages and Software Engineering,2,College of Engineering,
CMPSC 595D,Group Studies in Computer Science,2,College of Engineering,
CMPSC 595E,Group Studies in Computer Science: Architecture,2,College of Engineering,
CMPSC 595F,Group Studies in Computer Science: Networking,2,College of Engineering,
CMPSC 595G,Group Studies in Computer Science: Security,2,College of Engineering,
CMPSC 595H,Group Studies in Computer Science: Scientific Computing,2,College of Engineering,
CMPSC 595I,Group Studies in Computer Science: Intelligent and Interactive Systems,2,College of Engineering,
CMPSC 595J,Group Studies in Computer Science: General,2,College of Engineering,
CMPSC 595K,Group Studies in Computer Science: Computer Systems Modeling and Analysis,2,College of Engineering,
CMPSC 595L,Group Studies in Computer Science,2,College of Engineering,
CMPSC 595N,Group Studies in Computer Science: Faculty Research Seminar,2,College of Engineering,
CMPSC 595R,Group Studies in Computer Science,2,College of Engineering,
CMPSC 596,Directed Research,99,College of Engineering,
CMPSC 597,Individual Studies for Master of Science Comprehensive Examinations and Ph.D Examinations,99,College of Engineering,
CMPSC 598,Master's Thesis Research and Preparation,99,College of Engineering,
CMPSC 599,Ph.D. Dissertation Research and Preparation,99,College of Engineering,
CMPSC 5A,Introduction to Data Science 1,4,College of Engineering,
CMPSC 5B,Introduction to Data Science 2,4,College of Engineering,"| CMPSC 5A, CMPSC 8, ECE 3"
CMPSC 64,Computer Organization and Logic Design,4,College of Engineering,"CMPSC 16 | MATH 3C, MATH 4A"
CMPSC 8,Introduction to Computer Science,4,College of Engineering,
CMPSC 9,Intermediate Python Programming,4,College of Engineering,"| CMPSC 8, CMPSC W8, ENGR 3, ENGR W3, ECE 3"
CMPSC 90,Special Topics in Computer Science,4,College of Engineering,
CMPSC 90DA,Special Topics in Computer Science,4,College of Engineering,
CMPSC 90DB,Special Topics in Computer Science,4,College of Engineering,
CMPSC 96,Undergraduate Research,12,College of Engineering,
CMPSC 99,Independent Studies in Computer Science,30,College of Engineering,
CMPSC W8,Introduction to Computer Science,4,College of Engineering,
CMPSC W9,Intermediate Python Programming,4,College of Engineering,"| CMPSC 8, CMPSC W8, ENGR 3, ENGR W3, ECE 3"
ECE 10A,Foundations of Analog and Digital Circuits & Systems,3,College of Engineering,"PHYS 3 | MATH 2A, MATH 2B, MATH 3A, MATH 3B, MATH 3AH, MATH 3BH; MATH 4A, MATH 4AI, MATH 3C; MATH 4B, MATH 4BI, MATH 5A"
ECE 10AL,Foundations of Analog and Digital Circuits and Systems Lab,2,College of Engineering,| ECE 10A
ECE 10B,Foundations of Analog and Digital Circuits and Systems,3,College of Engineering,| ECE 10A
ECE 10BL,Foundations of Analog and Digital Circuits and Systems Lab,2,College of Engineering,| ECE 10B
ECE 10C,Foundations of Analog and Digital Circuits and Systems,3,College of Engineering,| ECE 10B
ECE 10CL,Foundations of Analog and Digital Circuits and Systems Lab,2,College of Engineering,| ECE 10C
ECE 120A,Integrated Circuit Design and Fabrication,4,College of Engineering,ECE 132
ECE 120B,Integrated Circuit Design and Fabrication,4,College of Engineering,"| ECE 120A, ECE 124B"
ECE 122A,VLSI Principles,4,College of Engineering,ECE 152A
ECE 122B,VLSI Architecture and Design,4,College of Engineering,"| ECE 124A, ECE 123, ECE 122A"
ECE 123,High-Performance Digital Circuit Design,4,College of Engineering,"ECE 10A, ECE 10B, ECE 10C | ECE 10AL, ECE 10BL, ECE 10CL, ECE 2A, ECE 2B, ECE 2C"
ECE 125,High Speed Digital Integrated Circuit Design,4,College of Engineering,"| ECE 124A, ECE 137A"
ECE 130A,Signal Analysis and Processing,4,College of Engineering,"| MATH 4B, MATH 5A"
ECE 130B,Signal Analysis and Processing,4,College of Engineering,ECE 130A
ECE 130C,Introduction to Applied Linear Algebra,4,College of Engineering,"| MATH 4B, MATH 5A"
ECE 132,Introduction to Solid-State Electronic Devices,4,College of Engineering,"MATH 4B | PHYS 4, PHYS 24, PHYS 7D"
ECE 133,Introduction to Optimization and Learning,4,College of Engineering,
ECE 134,Introduction to Fields and Waves,4,College of Engineering,"| PHYS 3, PHYS 23, PHYS 7B; PHYS 4, PHYS 24, PHYS 7C; MATH 4B, MATH 4BI, MATH 5A; MATH 5B, MATH 6A, MATH 6AI; MATH 5C, MATH 6B"
ECE 135,Optical Fiber Communications,4,College of Engineering,"ECE 132, ECE 134"
ECE 136A,Introduction to Optics and Photonics,4,College of Engineering,"| PHYS 5, PHYS 5L, PHYS 7D, PHYS 7L, PHYS 25"
ECE 136B,Optics and Imaging,4,College of Engineering,"| PHYS 5, PHYS 5L, PHYS 7D, PHYS 7L, PHYS 25"
ECE 136C,Quantum Photonics,4,College of Engineering,"| PHYS 5, PHYS 5L, PHYS 7D, PHYS 7L, PHYS 25"
ECE 137A,Circuits and Electronics I,4,College of Engineering,"ECE 10A, ECE 10B, ECE 10C"
ECE 137B,Circuits and Electronics II,4,College of Engineering,"ECE 10C, ECE 137A"
ECE 139,Probability and Statistics,4,College of Engineering,
ECE 141A,Introduction to Nanoelectromechanical and Microelectromechanical systems (NEMS/MEMS),3,College of Engineering,"| ME 16, ME W16; ME 152A, ME 151A, ECE 130A, ECE 137A"
ECE 141B,MEMS: Processing and Device Characterization,4,College of Engineering,"| ME 141A, ECE 141A"
ECE 142,INTRODUCTION TO POWER ELECTRONICS,4,College of Engineering,"ECE 132, ECE 134, ECE 137A"
ECE 144,Electromagnetic Fields and Waves,4,College of Engineering,ECE 134
ECE 145A,Communication Electronics,5,College of Engineering,"ECE 137A, ECE 137B"
ECE 145B,Communication Electronics II,5,College of Engineering,ECE 145A
ECE 145C,Communication Electronics III,5,College of Engineering,ECE 145B
ECE 146A,Digital Communication Fundamentals,5,College of Engineering,"ECE 130A, ECE 130B | ECE 139, PSTAT 120A"
ECE 146B,Wireless Communication Systems Design,5,College of Engineering,"ECE 130A, ECE 130B, ECE 146A | ECE 139, PSTAT 120A"
ECE 147A,Feedback Control Systems - Theory and Design,5,College of Engineering,"ECE 130A, ECE 130B"
ECE 147B,Digital Control Systems - Theory and Design,5,College of Engineering,ECE 147A
ECE 147C,Control System Design Project,5,College of Engineering,"| ECE 147A, ME 155B, ME 173"
ECE 148,Applications of Signal Analysis and Processing,4,College of Engineering,"ECE 130A, ECE 130B"
ECE 149,Game Theory for Networked Systems,4,College of Engineering,
ECE 150,MOBILE EMBEDDED SYSTEMS,4,College of Engineering,ECE 152A
